"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"480","Appeal (civil) 4730 of 2024","Adani Group","Central Pollution Control Board","2024-01-30","Justice R. Sharma, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 4730 OF 2024. The petitioner contested environmental fines imposed for a thermal power plant. The court ruled in favor of Adani, citing compliance with emission standards."
"481","Appeal (criminal) 3294 of 2024","Anjali Roy","State of Andhra Pradesh","2024-04-15","Justice H. Joshi, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 3294 OF 2024. The appellant was charged with assault. The court acquitted her due to lack of substantial evidence."
"482","Appeal (civil) 1582 of 2024","Bajaj Finserv","Insurance Regulatory Authority","2024-05-20","Justice R. Bansal, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 1582 OF 2024. The petitioner challenged penalties for non-compliance with insurance regulations. The court ruled in favor of Bajaj, confirming adherence to guidelines."
"483","Appeal (criminal) 4215 of 2024","Rohit Singh","State of Uttarakhand","2024-03-12","Justice K. Agarwal, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4215 OF 2024. The appellant faced charges of drug possession. The court acquitted him due to illegal search and seizure."
"484","Appeal (civil) 7511 of 2024","Tata Steel","Labour Commission","2024-06-08","Justice H. Sharma, Justice P. Agarwal","J U D G M E N T CIVIL APPEAL NO. 7511 OF 2024. The petitioner contested wage disputes raised by employees. The court ruled in favor of Tata Steel, confirming proper wage practices."
"485","Appeal (criminal) 6710 of 2024","Pooja Gupta","State of Maharashtra","2024-02-25","Justice K. Joshi, Justice R. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 6710 OF 2024. The appellant was accused of financial fraud. The court acquitted her, emphasizing lack of direct evidence."
"486","Appeal (civil) 8629 of 2024","HDFC Life","Consumer Court","2024-07-19","Justice R. Bansal, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 8629 OF 2024. The petitioner contested a consumer complaint regarding policy terms. The court ruled in favor of HDFC Life, affirming transparency in policy disclosure."
"487","Appeal (criminal) 2456 of 2024","Arjun Mehta","State of Kerala","2024-08-21","Justice K. Joshi, Justice H. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 2456 OF 2024. The appellant was charged with wildlife poaching. The court acquitted him due to lack of evidence."
"488","Appeal (civil) 4290 of 2024","State Bank of India","Financial Ombudsman","2024-03-30","Justice H. Mehta, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 4290 OF 2024. The petitioner contested consumer grievances regarding service charges. The court ruled in favor of SBI, citing adherence to banking norms."
"489","Appeal (criminal) 9983 of 2024","Vikas Jha","State of Punjab","2024-05-13","Justice P. Agarwal, Justice K. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 9983 OF 2024. The appellant was accused of cybercrime. The court acquitted him due to insufficient digital evidence."
"490","Appeal (civil) 2054 of 2024","Godrej Properties","Housing Regulatory Authority","2024-01-22","Justice K. Agarwal, Justice H. Mehta","J U D G M E N T CIVIL APPEAL NO. 2054 OF 2024. The petitioner challenged penalties for non-compliance with housing regulations. The court ruled in favor of Godrej, affirming adherence to construction standards."
"491","Appeal (criminal) 7573 of 2024","Nitin Sethi","State of Himachal Pradesh","2024-04-07","Justice R. Sharma, Justice K. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 7573 OF 2024. The appellant was charged with public disorder. The court acquitted him due to insufficient evidence."
"492","Appeal (civil) 6488 of 2024","Birla Corporation","Environmental Protection Agency","2024-06-12","Justice K. Iyer, Justice H. Joshi","J U D G M E N T CIVIL APPEAL NO. 6488 OF 2024. The petitioner contested environmental compliance fines. The court ruled in favor of Birla Corporation, emphasizing adherence to environmental norms."
"493","Appeal (criminal) 2001 of 2024","Krishna Reddy","State of Telangana","2024-02-17","Justice R. Bansal, Justice K. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 2001 OF 2024. The appellant was charged with trespassing. The court acquitted him due to lack of solid evidence."
"494","Appeal (civil) 4849 of 2024","Infosys","Income Tax Department","2024-05-05","Justice K. Agarwal, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 4849 OF 2024. The petitioner contested tax assessments claiming improper deductions. The court ruled in favor of Infosys, allowing the deductions based on valid business expenses."
"495","Appeal (criminal) 7234 of 2024","Nisha Patel","State of Bihar","2024-01-12","Justice R. Bansal, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 7234 OF 2024. The appellant was charged with theft. The court acquitted her due to lack of evidence linking her to the crime."
"496","Appeal (civil) 3817 of 2024","Reliance Industries","Environmental Authority","2024-06-20","Justice K. Agarwal, Justice H. Joshi","J U D G M E N T CIVIL APPEAL NO. 3817 OF 2024. The petitioner challenged penalties imposed for pollution violations. The court ruled in favor of Reliance, citing compliance with environmental regulations."
"497","Appeal (criminal) 8521 of 2024","Suresh Kumar","State of Gujarat","2024-03-30","Justice H. Mehta, Justice R. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 8521 OF 2024. The appellant was accused of public intoxication. The court acquitted him due to insufficient evidence of public disturbance."
"498","Appeal (civil) 2734 of 2024","Larsen & Toubro","Contractor Association","2024-02-15","Justice K. Agarwal, Justice K. Iyer","J U D G M E N T CIVIL APPEAL NO. 2734 OF 2024. The petitioner disputed a contract termination. The court ruled in favor of L&T, affirming that the termination was justified under contractual terms."
"499","Appeal (criminal) 4580 of 2024","Anita Rani","State of Haryana","2024-07-15","Justice R. Sharma, Justice H. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 4580 OF 2024. The appellant faced charges of embezzlement. The court acquitted her due to insufficient evidence."
"500","Appeal (civil) 3491 of 2024","Tech Mahindra","Trade Union","2024-04-22","Justice K. Agarwal, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 3491 OF 2024. The petitioner contested a labor dispute over wages. The court ruled in favor of Tech Mahindra, affirming compliance with wage regulations."
"501","Appeal (criminal) 6902 of 2024","Rajesh Yadav","State of Jammu & Kashmir","2024-05-01","Justice K. Iyer, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6902 OF 2024. The appellant was charged with assault. The court acquitted him due to lack of evidence and conflicting testimonies."
"502","Appeal (civil) 4712 of 2024","ICICI Bank","Financial Ombudsman","2024-08-10","Justice H. Mehta, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 4712 OF 2024. The petitioner contested a decision regarding customer complaints on service fees. The court ruled in favor of ICICI Bank, emphasizing transparent service fee structures."
"503","Appeal (criminal) 2345 of 2024","Seema Bhardwaj","State of Rajasthan","2024-09-18","Justice K. Joshi, Justice K. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 2345 OF 2024. The appellant was accused of conspiracy. The court acquitted her, stating that evidence was circumstantial and insufficient."
"504","Appeal (civil) 9022 of 2024","Mahindra & Mahindra","Consumer Court","2024-10-05","Justice R. Sharma, Justice H. Joshi","J U D G M E N T CIVIL APPEAL NO. 9022 OF 2024. The petitioner challenged a consumer complaint related to vehicle servicing. The court ruled in favor of Mahindra, affirming proper servicing practices."
"505","Appeal (criminal) 1400 of 2024","Surya Pratap","State of Chhattisgarh","2024-06-25","Justice K. Iyer, Justice H. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 1400 OF 2024. The appellant was charged with trespassing. The court acquitted him, noting the property was not clearly marked."
"506","Appeal (civil) 6789 of 2024","Axis Bank","Reserve Bank of India","2024-07-17","Justice H. Mehta, Justice R. Agarwal","J U D G M E N T CIVIL APPEAL NO. 6789 OF 2024. The petitioner challenged RBI's sanctions regarding loan approvals. The court ruled in favor of Axis Bank, citing adherence to loan criteria."
"507","Appeal (criminal) 8921 of 2024","Manoj Sharma","State of West Bengal","2024-09-21","Justice K. Agarwal, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 8921 OF 2024. The appellant was accused of extortion. The court acquitted him, citing lack of credible evidence."
